T,ActionApplied,Q_star,TotalSpent
0,voucher,446.90029100160075,469.6396472853571
0,freeship,178.8241050755633,147.3335611989114
0,combo,135.90670663916234,153.06859503754714
0,flashsale,583.8424944864436,568.902619856125
0,loyalty,515.2107359881496,524.700927039035
1,voucher,447.7495571073175,560.8457643996383
1,freeship,178.34177276699407,152.63849611919298
1,combo,137.37891948095069,158.23862944393193
1,flashsale,580.7532952784168,408.8225680750889
1,loyalty,516.3457494830453,485.5979203705061
2,voucher,445.9345575917952,554.4431176286955
2,freeship,177.41719829001264,189.21984517107555
2,combo,139.30836496144238,169.636492784492
2,flashsale,582.5745784232824,636.8534865926289
2,loyalty,514.0782030060948,396.3823631142054
3,voucher,445.54418967069876,446.14859651141177
3,freeship,178.252576228851,204.3467648816189
3,combo,140.69014149102526,44.568319182094086
3,flashsale,582.3952214929972,620.3438904325958
3,loyalty,513.9226559230141,341.84278356392156
4,voucher,444.6803709620609,501.5310306467068
4,freeship,179.2183117689024,283.3289506084805
4,combo,139.58194761135692,277.0303350237253
4,flashsale,581.2634191624643,620.9613526257305
4,loyalty,512.6352107974404,630.2263009877089
5,voucher,445.5884357775177,534.4603567604672
5,freeship,177.9196439292096,149.83244994192324
5,combo,139.61772753916475,83.9492070969187
5,flashsale,580.9532961316423,689.3691693420589
5,loyalty,512.4394499173067,493.50301672758144
6,voucher,445.2783065615004,475.9625821404187
6,freeship,178.4244261532063,154.57661172399122
6,combo,140.8558424189224,-32.11797622884069
6,flashsale,581.464649632558,631.244881167497
6,loyalty,511.95970061224943,432.57703971198157
7,voucher,447.4356351331858,639.3764114436062
7,freeship,178.40205839108367,220.80868163084398
7,combo,139.53919619277383,105.87088460586313
7,flashsale,581.839886942587,488.3239588765388
7,loyalty,512.3411089433686,628.5875198045342
8,voucher,448.2559106644987,423.5348063973954
8,freeship,177.04980578165774,255.45600260255355
8,combo,140.7291020130247,119.69253661847182
8,flashsale,581.257252362217,657.4586253042271
8,loyalty,515.2033881708826,464.5873123214401
9,voucher,448.1228811274547,551.6050575134616
9,freeship,174.82609557275566,186.22362139234562
9,combo,142.1367462204756,166.16916403243056
9,flashsale,582.986642624977,600.9108553031512
9,loyalty,515.8060285490945,628.4066693370057
10,voucher,447.9694223229584,583.8089520456069
10,freeship,174.76020877991974,128.1179475422337
10,combo,143.15602922639877,129.3606128820434
10,flashsale,582.9977418332862,594.7924025926907
10,loyalty,518.7490306615877,593.5440013594342
11,voucher,447.75849662733646,418.83062465656303
11,freeship,174.13126159251274,298.9362933001596
11,combo,141.2572842934308,90.97289216464063
11,flashsale,584.8555052826271,639.2731279470469
11,loyalty,518.0731545769446,400.43177298990156
12,voucher,445.80563681446506,410.5555125716881
12,freeship,172.88416145147065,250.50921590497606
12,combo,141.38777829677076,235.01226009480547
12,flashsale,586.5316364090844,611.6933792834515
12,loyalty,517.5019680756819,452.5646913753194
13,voucher,445.0877078424353,524.9586965765326
13,freeship,170.63159192588702,108.30334919363025
13,combo,140.42953762978445,302.3882551097548
13,flashsale,589.5767476922174,598.6624738442054
13,loyalty,519.2935435824112,560.5537132727712
14,voucher,445.47792438461624,496.2441184685592
14,freeship,170.0327739326267,271.95575766589303
14,combo,140.66378443430852,188.41536024568163
14,flashsale,586.973149206295,542.683399643561
14,loyalty,519.1219265371901,473.5863387925013
15,voucher,443.5480820372007,516.5959113661634
15,freeship,171.22726918517932,247.27751651718668
15,combo,139.53794122150288,255.9058549425783
15,flashsale,585.0764108725626,683.3340847277232
15,loyalty,521.0299706291295,617.2159074072562
16,voucher,446.0055345566732,456.56433296715863
16,freeship,169.76467660633656,178.0745462438461
16,combo,140.32939817699562,-100.81524260322237
16,flashsale,585.7992080744656,525.8216340578972
16,loyalty,521.1639344138779,731.4166896054246
17,voucher,444.57769130314034,352.68970812567665
17,freeship,168.22091033215176,202.70117929181566
17,combo,139.80768569847524,179.3396683947004
17,flashsale,586.1907285380773,593.4367040243778
17,loyalty,519.9667163528436,446.0843485339581
18,voucher,445.4442659489795,344.2446459169346
18,freeship,169.19880453783983,234.32150334188898
18,combo,140.54291297219154,178.70376300084047
18,flashsale,586.8169555389889,588.1627330067688
18,loyalty,521.2800682387503,657.4201515445629
19,voucher,445.3476771758572,441.06613100204675
19,freeship,165.60175585421902,144.8358542126909
19,combo,139.67728963922283,202.2764666694098
19,flashsale,588.3200638184785,501.9640201698128
19,loyalty,523.5212698706201,505.4828299616398
20,voucher,445.36277741827115,487.91666475714834
20,freeship,168.23616042366103,255.6303233026914
20,combo,140.51259701528576,227.4825119785878
20,flashsale,587.7974523162508,556.449037903958
20,loyalty,522.3256481077691,404.6473338135292
21,voucher,445.9504551001386,376.9593513984661
21,freeship,169.46569454459114,124.74035140019349
21,combo,139.66558228260138,99.33563710035605
21,flashsale,587.8165452673447,485.42646019149265
21,loyalty,524.2649654116356,601.6327915571917
22,voucher,447.2212944304982,405.5632333743133
22,freeship,170.6083923429878,59.892462062726196
22,combo,143.15326188621447,405.75693470312325
22,flashsale,588.6186038579009,583.0533246182459
22,loyalty,520.2995941233372,487.68208037054285
23,voucher,445.5609056206479,552.1235733102947
23,freeship,171.9135513737432,131.10864123090778
23,combo,142.07425806761995,145.06032523053565
23,flashsale,588.8580591498522,681.5145860129585
23,loyalty,521.5566060507961,599.1030670008952
24,voucher,446.9812835193498,460.4478064044744
24,freeship,171.3128291790299,255.92412899880395
24,combo,143.17431637399753,175.39992470843143
24,flashsale,587.3129732560625,537.8205923343937
24,loyalty,521.2080004874618,629.9304616010863
25,voucher,447.67403408640496,421.19951445759085
25,freeship,171.28568732023518,227.4962729604814
25,combo,141.1931900673159,114.03922080209936
25,flashsale,587.9444396504043,402.22284697483184
25,loyalty,519.8183495776491,626.7445609059057
26,voucher,447.42426452024415,519.745393810495
26,freeship,169.83378302467577,225.41986363812012
26,combo,140.85573333336123,105.52128152701391
26,flashsale,587.127730084242,593.5955292285896
26,loyalty,519.4990222249413,599.1614770130973
27,voucher,448.32850157677524,450.74310771794234
27,freeship,168.933058569306,259.4675648005997
27,combo,141.04817219236512,-48.98487349123238
27,flashsale,587.6215663883579,700.8927066199409
27,loyalty,520.2188517898734,514.4726649998335
28,voucher,449.8859687475021,519.7601852469231
28,freeship,168.1735637888204,164.26294851960597
28,combo,139.6905791381359,94.1459003943894
28,flashsale,589.0535501165416,598.9773304180536
28,loyalty,518.8517262123576,506.52917972816164
29,voucher,449.27365766712524,348.5287592539722
29,freeship,167.92466639941284,236.4312595600767
29,combo,138.70980659038256,149.28837707062286
29,flashsale,587.2039729006331,624.8124108818246
29,loyalty,517.6015351802033,560.1068515530661
30,voucher,448.7598166155844,432.19894183939414
30,freeship,168.74035809449106,319.87163824693084
30,combo,138.50031486533493,94.68160086416265
30,flashsale,587.2789749217118,562.0769414777801
30,loyalty,518.781446327651,524.8800032830733
31,voucher,447.3094745818565,525.8727410407444
31,freeship,166.19294261064093,125.06894411396101
31,combo,137.54724095500106,-34.06827368531614
31,flashsale,588.9196470090966,641.7986504955321
31,loyalty,518.4146503743713,768.9470319494227
32,voucher,446.2003750282036,366.8677454887209
32,freeship,168.1127085764998,183.66999303963695
32,combo,139.13699561456187,239.79118433841487
32,flashsale,587.9953221282923,623.129374203095
32,loyalty,518.6591284508922,523.1251562990518
33,voucher,445.2317805179352,371.5495382061881
33,freeship,168.75934362095083,294.18772551137397
33,combo,140.70754706317095,23.93063321614747
33,flashsale,586.8154107008935,660.2489209643905
33,loyalty,518.3543237464474,513.4820958076338
34,voucher,445.838868393282,320.9127726508416
34,freeship,169.23500947077736,171.42908647655392
34,combo,139.5769729469601,33.88167021985957
34,flashsale,588.1460938350107,560.9616896301401
34,loyalty,517.5356573010937,523.8669010010063
35,voucher,446.162828405216,377.7688326378558
35,freeship,167.8024430357499,87.57286585045311
35,combo,140.65744571298683,229.334888139309
35,flashsale,586.331768379429,450.63288856365216
35,loyalty,517.7443367011508,595.3579615038251
36,voucher,445.50313063534526,367.510672103214
36,freeship,168.1426349653209,348.4693518653893
36,combo,140.82410524019755,163.96860531075035
36,flashsale,586.9349550207421,721.2680553801091
36,loyalty,516.2905860944388,519.2435714209457
37,voucher,443.40215748186574,453.01739258398055
37,freeship,168.05038653744262,386.3120987505606
37,combo,139.2929361673323,111.76911819264339
37,flashsale,586.4095375020433,619.9712977662524
37,loyalty,515.1874038047881,690.7561862225672
38,voucher,442.603024359377,534.1640856137648
38,freeship,167.66211639045147,168.4619525754944
38,combo,137.95525676189072,193.14055405448593
38,flashsale,587.4532787967958,642.309143654576
38,loyalty,516.2602206885111,547.0328381598478
39,voucher,442.9156049528001,494.55928269877677
39,freeship,169.16891194171654,81.03713463403375
39,combo,138.46768826293666,3.149702479471557
39,flashsale,589.6646996055455,697.7994792741193
39,loyalty,515.2783220891805,463.7330728913071
40,voucher,440.25578197190856,461.03411615254447
40,freeship,168.59454203191999,48.430565306826026
40,combo,139.70256344287475,44.03099329768989
40,flashsale,589.6820790915043,739.5620310909688
40,loyalty,511.9410252826635,457.41907543888016
41,voucher,438.8537765512812,429.0391923354537
41,freeship,168.24396863969852,292.86399844550294
41,combo,138.61745705808,139.20274874923246
41,flashsale,588.7109650118085,647.36772868202
41,loyalty,513.3361485293038,426.59045499739136
42,voucher,440.58778634737257,300.82815064662515
42,freeship,168.74381221106074,187.77554426847553
42,combo,137.30870005495308,41.5268114857392
42,flashsale,589.0115602063175,628.6145598958694
42,loyalty,514.5759925477768,628.7317608233913
43,voucher,442.71152801366424,458.38338015021026
43,freeship,168.11381588433238,117.43624420050935
43,combo,136.10720714263581,111.75448439945205
43,flashsale,590.106496660094,440.2579093512974
43,loyalty,513.307499281363,425.9455801707298
44,voucher,444.1165747250648,411.48687520429996
44,freeship,170.1560770919571,103.28898941595314
44,combo,137.48007698210802,212.1718854555961
44,flashsale,590.2360314871015,502.0709801939321
44,loyalty,513.2769456452772,428.4624510189516
45,voucher,445.030059086932,469.06853876106476
45,freeship,171.94024168583326,208.4990633278677
45,combo,136.73247394830184,182.62683799059369
45,flashsale,587.9576142197484,500.9280691198525
45,loyalty,513.043544421237,590.9733616903764
46,voucher,443.9720613557258,387.9447784101476
46,freeship,172.82771892091034,123.09207796967516
46,combo,134.37329226936168,190.6400705408737
46,flashsale,589.3748158062768,411.92483885593487
46,loyalty,512.1167393028823,475.50438434227954
47,voucher,445.1108338554871,365.33256472330834
47,freeship,171.4014562661452,116.49415744231933
47,combo,133.7771737021043,135.13871490140087
47,flashsale,588.0476223164843,578.9460241926287
47,loyalty,513.4458921646262,495.84289550723764
48,voucher,443.71079567836654,449.1910821458898
48,freeship,172.63339499630163,210.98406514141897
48,combo,133.15977873163382,270.5835653102296
48,flashsale,588.0764356802416,489.80014771485014
48,loyalty,513.095333207793,662.1832791668495
49,voucher,444.48715861068166,449.49814295649645
49,freeship,170.44331982851028,24.21969576823048
49,combo,133.20699606372807,123.03757931221593
49,flashsale,588.5166295564227,454.38180085494315
49,loyalty,510.72815889698495,606.6764563192581
50,voucher,444.5889004079399,561.0595793645227
50,freeship,170.10393146218573,181.97540584369148
50,combo,132.30882716149105,174.29770894323448
50,flashsale,589.2226386514712,609.5778483840256
50,loyalty,509.99369740829457,414.61266120479064
51,voucher,443.9501332350283,404.20331170094624
51,freeship,172.49812197573513,129.50841850339137
51,combo,132.48053256506114,40.3281718864594
51,flashsale,590.3507449122056,503.3819208712713
51,loyalty,511.1710262650257,368.66348207373494
52,voucher,445.72521920701854,388.3495288461138
52,freeship,174.1576502163901,232.93947587728195
52,combo,132.9227803460432,48.56480615539509
52,flashsale,589.4044745682301,577.9476519332561
52,loyalty,509.7825003118375,647.8398229349552
53,voucher,447.1660163172811,327.2946032949571
53,freeship,173.87575284011328,258.0117335277052
53,combo,131.25668722254017,93.51423528448888
53,flashsale,587.3752447083907,654.243671692316
53,loyalty,509.23618390710914,351.684074322744
54,voucher,446.63386929724476,466.7340274509308
54,freeship,173.47794452299232,160.83472775348272
54,combo,132.17220806399493,161.06240819776906
54,flashsale,587.8821864333936,596.4354018118033
54,loyalty,507.39847367367526,420.6074421260916
