T,ActionApplied,Q_star,TotalSpent
0,voucher,432.2547236479853,305.09579497698803
0,freeship,164.67218067244525,407.32646662460354
0,combo,187.63917322907662,64.23450272296225
0,flashsale,642.0401263229236,671.0014067727881
0,loyalty,455.84397498875376,643.2999184695298
1,voucher,432.2547236479853,409.4202161387056
1,freeship,164.67218067244525,-8.69983357016585
1,combo,187.63917322907662,369.5436000112521
1,flashsale,642.0401263229236,614.3343361766679
1,loyalty,455.84397498875376,361.2034152136206
2,voucher,432.2547236479853,532.6389104444702
2,freeship,164.67218067244525,289.27322701927113
2,combo,187.63917322907662,168.49830824120278
2,flashsale,642.0401263229236,683.5694611087465
2,loyalty,455.84397498875376,286.73943283989973
3,voucher,432.2547236479853,562.3235519060246
3,freeship,164.67218067244525,214.50642034695247
3,combo,187.63917322907662,147.69655712174756
3,flashsale,642.0401263229236,619.3025486260597
3,loyalty,455.84397498875376,398.8152808910144
4,voucher,432.2547236479853,519.2636628220729
4,freeship,164.67218067244525,162.46783760111353
4,combo,187.63917322907662,303.9338388491019
4,flashsale,642.0401263229236,632.4560164396485
4,loyalty,455.84397498875376,378.7218706780349
5,voucher,432.2547236479853,476.35292437029625
5,freeship,164.67218067244525,246.81547731015604
5,combo,187.63917322907662,326.0684714001927
5,flashsale,642.0401263229236,532.7217241785778
5,loyalty,455.84397498875376,275.86636343205873
6,voucher,432.2547236479853,600.8700356035032
6,freeship,164.67218067244525,95.86335614164292
6,combo,187.63917322907662,233.78349511882595
6,flashsale,642.0401263229236,618.0461144622551
6,loyalty,455.84397498875376,549.9603775934473
7,voucher,432.2547236479853,390.34373760965025
7,freeship,164.67218067244525,154.92906763093274
7,combo,187.63917322907662,331.5121267138877
7,flashsale,642.0401263229236,561.7079258257631
7,loyalty,455.84397498875376,408.59651882046626
8,voucher,432.2547236479853,490.71647391756346
8,freeship,164.67218067244525,231.03079704351688
8,combo,187.63917322907662,452.48159721148414
8,flashsale,642.0401263229236,503.8724550288968
8,loyalty,455.84397498875376,473.4609815371866
9,voucher,432.2547236479853,302.5402716662792
9,freeship,164.67218067244525,91.69201622870195
9,combo,187.63917322907662,248.84307605570137
9,flashsale,642.0401263229236,629.6136467537322
9,loyalty,455.84397498875376,547.4023797203849
10,voucher,432.2547236479853,375.2659733489849
10,freeship,164.67218067244525,112.98092550481513
10,combo,187.63917322907662,253.76038931219443
10,flashsale,642.0401263229236,683.0469627755207
10,loyalty,455.84397498875376,457.9593597690246
11,voucher,432.2547236479853,494.6487966952159
11,freeship,164.67218067244525,218.182240730702
11,combo,187.63917322907662,208.39763244880604
11,flashsale,642.0401263229236,520.1906753162347
11,loyalty,455.84397498875376,619.1797887307855
12,voucher,432.2547236479853,363.62119946148243
12,freeship,164.67218067244525,240.6847716169661
12,combo,187.63917322907662,493.2896318838568
12,flashsale,642.0401263229236,644.009562436085
12,loyalty,455.84397498875376,448.96875501793966
13,voucher,432.2547236479853,511.84568546354006
13,freeship,164.67218067244525,247.65446009758608
13,combo,187.63917322907662,232.00680924086745
13,flashsale,642.0401263229236,542.6471129901031
13,loyalty,455.84397498875376,451.7059517714405
14,voucher,432.2547236479853,347.35132578236033
14,freeship,164.67218067244525,-52.44462856313015
14,combo,187.63917322907662,230.40947954837637
14,flashsale,642.0401263229236,774.3123700212141
14,loyalty,455.84397498875376,540.7908603254376
15,voucher,432.2547236479853,271.38001720855334
15,freeship,164.67218067244525,49.21399930882336
15,combo,187.63917322907662,152.77399947565897
15,flashsale,642.0401263229236,573.4318718547129
15,loyalty,455.84397498875376,577.8265209274646
16,voucher,432.2547236479853,642.1590511928424
16,freeship,164.67218067244525,46.70707272753263
16,combo,187.63917322907662,131.00049129861713
16,flashsale,642.0401263229236,728.0308145901668
16,loyalty,455.84397498875376,596.5671370485691
17,voucher,432.2547236479853,363.0371922382018
17,freeship,164.67218067244525,79.92242023892913
17,combo,187.63917322907662,81.46888937104815
17,flashsale,642.0401263229236,650.1557312688792
17,loyalty,455.84397498875376,411.7355008778412
18,voucher,432.2547236479853,303.4444137124079
18,freeship,164.67218067244525,126.51127917565412
18,combo,187.63917322907662,156.43266376996218
18,flashsale,642.0401263229236,641.1226022656458
