CustomerID,total_spent,num_invoices,num_items,num_products,first_purchase,last_purchase,country,purchase_span_days
12346,77183.6,1,74215,1,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,0
12347,4310.0,7,2458,103,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,365
12348,1797.24,4,2341,22,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,282
12349,1757.55,1,631,73,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,0
12350,334.40000000000003,1,197,17,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,0
12352,2506.04,8,536,59,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,260
12353,89.0,1,20,4,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,0
12354,1079.4,1,530,58,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,0
12355,459.40000000000003,1,240,13,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,0
12356,2811.43,3,1591,53,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,302
12357,6207.67,1,2708,131,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,0
12358,1168.06,2,248,13,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,149
12359,6372.58,4,1622,214,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,274
12360,2662.06,3,1165,105,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,148
12361,189.9,1,91,10,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,0
12362,5226.2300000000005,10,2229,201,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,292
12363,552.0,2,408,23,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,132
12364,1313.1,4,1506,70,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,104
12365,641.38,2,174,22,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,0
12367,168.9,1,173,11,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,0
12370,3545.69,4,2353,143,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,309
12371,1887.96,2,591,63,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,14
12372,1298.04,3,794,34,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,224
12373,364.6,1,197,14,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,0
12374,742.9300000000001,1,342,33,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,0
12375,457.5,2,178,14,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,87
12377,1628.1200000000001,2,944,72,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,39
12378,4008.62,1,2529,219,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,0
12379,852.24,2,407,39,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,88
12380,2724.81,4,1127,77,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,164
12381,1845.31,5,808,70,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway,115
12383,1850.56,5,1532,84,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,167
12384,585.27,2,126,26,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,92
12386,401.9,2,354,10,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,29
12388,2780.6600000000003,6,1462,57,2011-01-17 11:12:00,2011-11-24 12:30:00,Australia,311
12390,549.84,1,353,32,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,0
12391,460.89,1,300,92,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus,0
12393,1582.6000000000001,4,816,47,2011-01-11 09:47:00,2011-09-28 15:41:00,Australia,260
12394,1272.48,2,819,26,2011-05-06 14:01:00,2011-10-07 08:08:00,Belgium,153
12395,3018.63,12,2118,91,2010-12-03 16:35:00,2011-11-20 15:21:00,Belgium,351
12397,2409.9,2,1263,110,2011-07-27 14:21:00,2011-11-04 09:52:00,Belgium,99
12398,1635.6599999999999,1,1394,85,2011-10-25 10:27:00,2011-10-25 10:27:00,Switzerland,0
12399,1108.65,4,1178,47,2011-03-23 09:42:00,2011-08-12 13:15:00,Belgium,142
12401,84.3,1,11,5,2011-02-09 13:50:00,2011-02-09 13:50:00,Belgium,0
12402,225.60000000000002,1,94,11,2011-01-20 13:49:00,2011-01-20 13:49:00,Belgium,0
12403,427.7,1,96,5,2011-10-21 10:51:00,2011-10-21 10:51:00,Denmark,0
12405,1710.39,1,857,54,2011-07-14 08:52:00,2011-07-14 08:52:00,Finland,0
